category,best_overall_threshold,ba_mean,ba_std,n
BATHROOM,0.3,0.52380952,0.10910895,21
BIRD,0.3,0.51785714,0.09449112,28
BODY,0.3,0.50800976,0.0625009,64
CLOTHING,0.3,0.5106383,0.0729325,47
DESSERT,0.3,0.525,0.1118034,20
DRINK,0.3,0.53125,0.125,16
ELECTRONIC,0.3,0.52631579,0.11470787,19
FAMILY,0.3,0.51467432,0.08575507,34
FRUIT,0.3,0.51785714,0.09449112,28
FURNITURE,0.3,0.51785714,0.09449112,28
HOUSEHOLD,0.3,0.515625,0.08838835,32
INSECT,0.3,0.52777778,0.11785113,18
INSTRUMENT,0.3,0.53125,0.125,16
KITCHEN,0.3,0.51724138,0.09284767,29
MAMMAL,0.3,0.50672973,0.05812747,74
MEAT,0.3,0.52777778,0.11785113,18
MONTH,0.3,0.54166667,0.14433757,12
NUMBER,0.3,0.52272727,0.10660036,22
PLANT,0.3,0.53125,0.125,16
SHAPE,0.3,0.53846154,0.13867505,13
SPACE,0.3,0.53333333,0.12909944,15
SPORT,0.3,0.57142857,0.18898224,7
TIMES,0.3,0.55,0.15811388,10
TOOL,0.3,0.51851852,0.09622504,27
TOY,0.3,0.51612903,0.08980265,31
VEGETABLE,0.3,0.52272727,0.10660036,22
VEHICLE,0.3,0.51388889,0.08333333,36
WEATHER,0.3,0.0,0.0,11
